id,name,state,lat,lon,elev_ft,type
KVNX,Vance Afb,OK,36.740617,-98.127717,1258,NEXRAD
KVTX,Los Angeles,CA,34.412017,-119.17875,2807,NEXRAD
KVWX,Evansville,IN,38.26025,-87.724528,625,NEXRAD
KYUX,Yuma,AZ,32.495281,-114.65671,239,NEXRAD
LPLA,Lajes Ab,,38.73028,-27.32167,3334,NEXRAD
PABC,Bethel Faa,AK,60.791944,-161.87638,193,NEXRAD
PACG,Sitka,AK,56.852778,-135.52916,272,NEXRAD
PAEC,Nome,AK,64.511389,-165.295,90,NEXRAD
PAHG,Anchorage,AK,60.725914,-151.35146,356,NEXRAD
PAIH,Middleton Island,AK,59.460767,-146.30344,132,NEXRAD
PAKC,King Salmon,AK,58.679444,-156.62944,144,NEXRAD
PAPD,Fairbanks,AK,65.035114,-147.50143,2707,NEXRAD
PGUA,Andersen Afb Agana,GU,13.455833,144.811111,386,NEXRAD
PHKI,South Kauai,HI,21.893889,-159.5525,340,NEXRAD
PHKM,Kamuela,HI,20.125278,-155.77777,3966,NEXRAD
PHMO,Molokai,HI,21.132778,-157.18027,1444,NEXRAD
PHWA,South Shore,HI,19.095,-155.56888,1461,NEXRAD
RKJK,Kunsan,,35.924167,126.622222,192,NEXRAD
RKSG,Camp Humphreys,,37.207569,127.285561,1521,NEXRAD
RODN,Kadena,,26.3078,127.903469,412,NEXRAD
TADW,Andrews Afb,MD,38.695,-76.845,344,TDWR
TATL,Atlanta,GA,33.646944,-84.261944,1076,TDWR
TBNA,Nashville,TN,35.98,-86.661944,817,TDWR
TBOS,Boston,MA,42.158056,-70.933056,262,TDWR
TBWI,Baltimore Washington,MD,39.09,-76.63,299,TDWR
TCLT,Charlotte,NC,35.336944,-80.885,869,TDWR
TCMH,Columbus,OH,40.006111,-82.715,1148,TDWR
TCVG,Covington,KY,38.898056,-84.58,1053,TDWR
TDAL,Dallas Love Field,TX,32.926111,-96.968056,623,TDWR
TDAY,Dayton,OH,40.021944,-84.123056,1020,TDWR
TDCA,Washington National,MD,38.758889,-76.961944,344,TDWR
TDEN,Denver,CO,39.728056,-104.52611,5702,TDWR
TDFW,Dallas Ft Worth,TX,33.065,-96.918056,584,TDWR
TDTW,Detroit,MI,42.111111,-83.515,771,TDWR
